COMPLETE PROGRAMS REPORT
Total installed: 123
Total store apps: 163
Total running: 125
Total startup: 8

================================================================================
INSTALLED PROGRAMS (123)
================================================================================

Microsoft.WindowsAppRuntime.1.2 | 2000.802.31.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.4 | 4000.1309.2056.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.4 | 4000.1309.2056.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.5 | 5001.373.1736.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.5 | 5001.373.1736.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.6 | 6000.519.329.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.6 | 6000.519.329.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.7 | 7000.676.1651.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.7 | 7000.744.1258.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.7 | 7000.770.750.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.7 | 7000.785.2325.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.7 | 7000.785.2325.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.8 | 8000.770.947.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.8 | 8000.806.2252.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.8 | 8000.836.2153.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.8 | 8000.836.2153.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.8 | 8000.859.21.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.8 | 8000.859.21.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
